controller,scenario,num_barrels,seed,pid,result
eband,trashcans,5,32,3304,SUCCEEDED
dwa,trashcans,7,32,3558,SUCCEEDED
custom_dwa,trashcans,7,32,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,32,3408,TIMED_OUT
teb,trashcans,7,32,3601,SUCCEEDED
dwa,trashcans,3,33,3304,SUCCEEDED
eband,trashcans,7,32,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,32,3283,TIMED_OUT
custom_dwa,trashcans,3,33,3558,SUCCEEDED
eband,trashcans,3,33,3508,SUCCEEDED
teb,trashcans,3,33,3408,SUCCEEDED
baseLocalPlanner,trashcans,3,33,3449,TIMED_OUT
dwa,trashcans,5,33,3304,SUCCEEDED
custom_dwa,trashcans,5,33,3354,SUCCEEDED
eband,trashcans,5,33,3283,SUCCEEDED
baseLocalPlanner,trashcans,5,33,3601,TIMED_OUT
dwa,trashcans,7,33,3408,SUCCEEDED
teb,trashcans,5,33,3558,SUCCEEDED
custom_dwa,trashcans,7,33,3449,SUCCEEDED
eband,trashcans,7,33,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,33,3508,TIMED_OUT
teb,trashcans,7,33,3354,SUCCEEDED
dwa,trashcans,3,34,3601,SUCCEEDED
custom_dwa,trashcans,3,34,3408,SUCCEEDED
eband,trashcans,3,34,3558,SUCCEEDED
teb,trashcans,3,34,3449,SUCCEEDED
dwa,trashcans,5,34,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,34,3283,TIMED_OUT
custom_dwa,trashcans,5,34,3354,SUCCEEDED
eband,trashcans,5,34,3601,SUCCEEDED
teb,trashcans,5,34,3408,SUCCEEDED
dwa,trashcans,7,34,3449,SUCCEEDED
baseLocalPlanner,trashcans,5,34,3304,TIMED_OUT
custom_dwa,trashcans,7,34,3508,SUCCEEDED
dwa,trashcans,3,35,3408,SUCCEEDED
teb,trashcans,7,34,3354,SUCCEEDED
eband,trashcans,7,34,3283,SUCCEEDED
custom_dwa,trashcans,3,35,3449,SUCCEEDED
